,location,size,total_sqft,bath,price
220,7th,2,1050.0,2.0,50.0
221,7th,2,1275.0,2.0,87.0
222,7th,3,1460.0,3.0,70.0
223,7th,3,1650.0,3.0,110.0
224,7th,2,850.0,2.0,42.0
225,7th,3,1680.0,3.0,117.0
226,7th,3,1850.0,3.0,150.0
227,7th,2,1236.0,2.0,61.33
228,7th,2,1000.0,2.0,53.0
229,7th,3,1680.0,3.0,125.0
230,7th,3,1675.0,2.0,135.0
231,7th,2,1187.0,2.0,59.0
232,7th,3,1850.0,3.0,155.0
233,7th,2,1000.0,2.0,61.0
234,7th,3,1460.0,2.0,100.0
235,7th,3,1650.0,3.0,110.0
236,7th,2,1200.0,2.0,62.5
237,7th,2,1000.0,2.0,70.65
238,7th,2,1070.0,2.0,42.0
239,7th,2,1080.0,2.0,75.0
240,7th,3,2100.0,3.0,200.0
241,7th,3,1415.0,3.0,65.0
242,7th,3,1680.0,3.0,125.0
243,7th,2,1040.0,2.0,41.59
244,7th,2,1100.0,2.0,44.0
245,7th,3,1460.0,2.0,97.0
246,7th,2,1120.0,2.0,65.0
247,7th,2,1100.0,3.0,60.0
248,7th,3,1790.0,3.0,120.0
249,7th,3,1680.0,3.0,117.0
250,7th,2,1050.0,2.0,77.0
251,7th,2,1174.0,2.0,47.0
252,7th,2,1050.0,2.0,75.0
253,7th,2,1040.0,2.0,75.0
254,7th,3,1400.0,2.0,95.0
255,7th,3,1800.0,3.0,130.0
256,7th,2,1050.0,2.0,68.0
257,7th,3,1400.0,2.0,57.0
258,7th,2,1000.0,2.0,60.0
259,7th,3,1680.0,3.0,125.0
260,7th,2,980.0,2.0,86.0
261,7th,3,1370.0,2.0,54.79
262,7th,2,1050.0,2.0,77.47
263,7th,2,1270.0,2.0,80.0
264,7th,3,1463.0,2.0,61.45
265,7th,3,1680.0,3.0,122.0
266,7th,2,1070.0,2.0,42.79
267,7th,2,1130.0,2.0,85.0
268,7th,3,1680.0,3.0,130.0
269,7th,3,2000.0,3.0,77.0
270,7th,3,1300.0,2.0,52.0
271,7th,3,2980.0,4.0,260.0
272,7th,2,980.0,2.0,77.44
273,7th,3,1680.0,3.0,112.0
274,7th,3,1515.0,2.0,76.0
275,7th,3,2095.0,3.0,150.0
276,7th,3,1370.0,2.0,54.79
277,7th,3,1976.0,3.0,145.0
278,7th,3,1600.0,2.0,110.0
279,7th,3,1765.0,3.0,118.0
280,7th,3,1275.0,2.0,88.0
281,7th,3,1450.0,2.0,102.0
282,7th,3,1575.0,2.0,110.0
283,7th,3,2100.0,3.0,200.0
284,7th,3,1075.0,2.0,57.0
285,7th,1,750.0,1.0,47.0
286,7th,2,1050.0,2.0,42.0
287,7th,2,990.0,2.0,50.0
288,7th,1,1000.0,1.0,60.0
289,7th,3,1680.0,2.0,92.0
290,7th,2,1100.0,2.0,44.0
291,7th,3,1430.0,2.0,102.0
292,7th,2,1128.0,2.0,60.0
293,7th,3,2100.0,3.0,190.0
294,7th,2,1140.0,2.0,57.0
295,7th,3,1420.0,3.0,90.0
296,7th,2,1530.0,2.0,108.0
297,8th,2,1073.5,2.0,54.005
298,8th,1,451.0,1.0,29.9
299,8th,3,1240.0,3.0,43.5
300,8th,2,1062.0,2.0,42.47
301,8th,3,1230.0,2.0,43.5
302,8th,2,1165.0,2.0,135.0
303,8th,3,1455.0,3.0,73.31
304,8th,2,871.0,2.0,55.0
305,8th,2,1098.0,2.0,43.91
306,8th,3,1800.0,3.0,80.0
307,8th,4,2700.0,4.0,130.0
308,8th,2,1080.0,2.0,38.0
309,8th,2,1059.0,2.0,34.5
310,8th,2,1080.0,2.0,35.0
311,8th,3,1275.0,2.0,41.5
312,8th,2,1062.0,2.0,42.47
313,8th,1,500.0,1.0,31.0
314,8th,2,1100.0,2.0,35.0
315,8th,4,2100.0,4.0,92.0
316,8th,2,1100.0,2.0,110.0
317,8th,2,1035.0,2.0,39.33
318,8th,2,909.0,2.0,40.9
319,8th,3,1431.5,3.0,72.02
320,8th,3,1900.0,4.0,90.0
321,8th,1,500.0,1.0,30.0
322,8th,2,1125.0,2.0,36.94
323,8th,4,1200.0,3.0,110.0
324,8th,2,1100.0,2.0,35.0
325,8th,2,1089.0,2.0,43.55
326,8th,3,1605.0,2.0,65.0
327,8th,3,1504.0,2.0,83.0
328,8th,4,2600.0,4.0,115.0
329,8th,3,1368.0,2.0,54.71
330,8th,2,1209.0,2.0,100.0
331,8th,2,1089.0,2.0,43.55
332,8th,3,1224.0,2.0,48.95
333,8th,2,1513.0,2.0,62.0
334,8th,2,1298.0,2.0,59.0
335,8th,2,1006.0,2.0,44.0
336,8th,1,500.0,1.0,33.0
337,8th,2,1160.0,2.0,95.0
338,8th,2,1245.0,2.0,59.0
339,8th,2,1510.0,2.0,80.0
340,8th,3,3300.0,3.0,165.0
341,8th,5,1730.0,5.0,75.0
342,8th,3,1296.0,2.0,51.83
343,8th,3,1275.0,3.0,45.0
344,8th,2,1046.0,2.0,48.0
345,8th,3,1269.0,2.0,50.75
346,8th,3,1408.0,3.0,80.0
347,8th,3,1500.0,2.0,55.0
348,9th,2,1005.0,2.0,50.0
349,9th,3,1890.0,2.0,85.0
350,9th,2,1100.0,2.0,65.0
351,9th,2,1080.0,2.0,37.0
352,9th,2,1035.0,2.0,45.0
353,9th,4,5000.0,4.0,290.0
354,9th,2,1164.0,2.0,56.0
355,9th,2,1005.0,2.0,42.0
356,9th,4,3500.0,4.0,300.0
357,9th,2,1127.0,2.0,50.0
358,9th,2,1005.0,2.0,43.0
359,9th,2,835.0,2.0,37.0
360,9th,2,1050.0,2.0,39.0
361,9th,2,660.0,2.0,27.0
362,9th,1,600.0,1.0,20.0
363,9th,2,1466.0,2.0,71.0
364,9th,3,1890.0,2.0,93.0
365,9th,2,1079.0,2.0,60.0
366,9th,2,1480.0,2.0,80.0
367,9th,2,1200.0,2.0,80.0
368,9th,2,905.0,2.0,32.0
369,9th,2,1073.0,2.0,52.36
370,9th,3,1719.3,2.0,88.0
371,9th,3,1780.0,3.0,88.0
372,9th,3,1300.0,2.0,58.0
373,9th,3,1522.0,3.0,90.0
374,9th,3,1571.0,3.0,65.0
375,9th,4,1900.0,4.0,80.0
376,9th,2,890.0,2.0,45.0
377,9th,3,1240.0,2.0,39.89
378,9th,4,5000.0,4.0,300.0
379,9th,3,1240.0,2.0,42.85
380,9th,2,1050.0,2.0,35.0
381,9th,2,1331.95,2.0,69.0
382,AECS,2,1100.0,2.0,45.0
383,AECS,2,1028.0,2.0,42.0
384,AECS,2,1199.0,2.0,65.0
385,AECS,2,1080.0,2.0,55.0
386,AECS,2,1123.0,2.0,64.0
387,AECS,2,1308.0,2.0,60.0
388,AECS,2,1005.0,2.0,55.0
389,AECS,3,2000.0,3.0,90.0
390,Abbigere,2,985.0,2.0,40.39
391,Abbigere,6,2200.0,6.0,68.0
392,Abbigere,1,765.0,2.0,30.0
393,Abbigere,2,880.0,2.0,35.0
394,Abbigere,2,795.0,2.0,32.54
395,Abbigere,2,1005.0,2.0,39.59
396,Abbigere,1,734.0,1.0,19.82
397,Abbigere,3,1260.0,2.0,45.0
398,Abbigere,2,1020.0,2.0,41.82
399,Abbigere,2,985.0,2.0,40.39
400,Abbigere,6,2500.0,6.0,81.0
401,Abbigere,2,795.0,2.0,32.54
402,Abbigere,2,1130.0,2.0,46.33
403,Abbigere,2,795.0,1.0,32.6
404,Abbigere,8,3000.0,8.0,150.0
405,Abbigere,2,985.0,2.0,38.92
406,Abbigere,2,1000.0,2.0,41.0
407,Abbigere,2,995.0,2.0,40.8
408,Abbigere,2,1020.0,2.0,40.8
409,Akshaya,2,1388.0,2.0,57.0
410,Akshaya,2,1070.0,2.0,54.0
411,Akshaya,2,1280.0,2.0,58.0
412,Akshaya,3,1662.0,3.0,85.1
413,Akshaya,3,1897.0,3.0,120.0
414,Akshaya,3,1410.0,2.0,75.0
415,Akshaya,3,1360.0,2.0,85.0
416,Akshaya,3,1600.0,2.0,65.0
417,Akshaya,3,1720.0,3.0,134.0
418,Akshaya,4,4000.0,4.0,170.0
419,Akshaya,3,1410.0,2.0,80.0
420,Akshaya,3,1300.0,2.0,49.0
421,Akshaya,3,1662.0,3.0,85.0
422,Akshaya,3,1662.0,3.0,85.5
423,Akshaya,2,1280.0,2.0,60.0
424,Akshaya,3,1666.0,3.0,95.0
425,Akshaya,3,1575.0,3.0,90.0
426,Akshaya,3,1430.0,2.0,75.0
427,Akshaya,3,1419.0,2.0,73.0
428,Akshaya,2,1280.0,2.0,60.0
429,Akshaya,2,1200.0,2.0,50.0
430,Akshaya,2,1092.0,2.0,60.0
431,Akshaya,3,1690.0,3.0,85.0
432,Akshaya,3,1700.0,3.0,80.0
433,Akshaya,3,1897.0,4.0,93.0
434,Akshaya,3,1884.0,3.0,98.0
435,Akshaya,3,1551.0,2.0,60.0
436,Akshaya,2,1314.0,2.0,68.8
437,Akshaya,3,1690.0,3.0,85.0
438,Akshaya,2,1265.0,2.0,67.0
439,Akshaya,2,1126.0,2.0,55.0
440,Akshaya,3,2300.0,4.0,102.0
441,Akshaya,3,1662.0,3.0,90.0
442,Akshaya,3,1420.0,2.0,75.0
443,Akshaya,3,1435.0,3.0,53.0
444,Akshaya,3,1280.0,2.0,49.0
445,Akshaya,3,1412.0,2.0,88.0
446,Akshaya,2,1141.0,2.0,55.0
447,Akshaya,3,1434.0,3.0,84.0
448,Akshaya,3,1890.0,4.0,100.0
449,Akshaya,3,2650.0,3.0,125.0
450,Akshaya,3,1419.0,2.0,87.0
451,Akshaya,2,1300.0,2.0,54.0
452,Akshaya,3,1690.0,3.0,85.0
453,Akshaya,2,1000.0,2.0,38.0
454,Akshaya,2,1113.0,2.0,52.0
455,Akshaya,3,1820.0,4.0,95.0
456,Akshaya,3,1260.0,2.0,49.0
457,Akshaya,2,1427.0,2.0,52.0
458,Akshaya,2,1100.0,2.0,48.0
459,Akshaya,3,1896.0,3.0,102.0
460,Akshaya,2,1300.0,2.0,66.0
461,Akshaya,2,1225.0,2.0,68.0
462,Akshaya,2,1179.0,2.0,51.0
463,Akshaya,3,1421.0,2.0,73.0
464,Akshaya,2,1200.0,2.0,45.0
465,Akshaya,3,1893.0,4.0,95.0
466,Akshaya,2,900.0,2.0,45.0
467,Akshayanagara,3,1693.0,3.0,108.0
468,Akshayanagara,2,1205.0,2.0,60.0
469,Akshayanagara,2,1210.0,2.0,76.0
470,Akshayanagara,3,1519.0,3.0,67.23
471,Akshayanagara,2,1410.0,2.0,75.0
472,Akshayanagara,3,1595.0,3.0,70.39
473,Akshayanagara,2,1230.0,2.0,50.0
474,Akshayanagara,1,595.0,1.0,40.0
475,Akshayanagara,2,1145.0,2.0,44.0
476,Ambalipura,2,1105.0,2.0,75.0
477,Ambalipura,3,1800.0,3.0,110.0
478,Ambalipura,2,1150.0,2.0,80.0
479,Ambalipura,2,1250.0,2.0,66.25
480,Ambalipura,2,1332.0,2.0,79.0
481,Ambalipura,3,1730.0,3.0,120.0
482,Ambalipura,3,3500.0,3.0,198.0
483,Ambalipura,2,1230.0,2.0,66.25
484,Ambalipura,2,1351.0,2.0,77.0
485,Ambalipura,4,2550.0,4.0,149.0
486,Ambalipura,3,1817.0,3.0,102.0
487,Ambalipura,4,2750.0,4.0,142.0
488,Ambalipura,2,1303.0,2.0,80.0
489,Ambalipura,3,1607.0,2.0,112.0
490,Ambalipura,1,770.0,1.0,43.82
491,Ambalipura,2,1700.0,2.0,76.0
492,Ambalipura,2,1060.0,2.0,58.5
493,Ambalipura,3,1650.0,3.0,100.0
494,Ambalipura,3,1607.0,2.0,112.0
495,Ambalipura,2,1198.0,2.0,80.0
496,Ambedkar,3,1875.0,3.0,165.0
497,Ambedkar,2,1468.0,2.0,140.0
498,Ambedkar,3,1935.0,4.0,130.0
499,Ambedkar,2,1424.0,2.0,90.0
500,Ambedkar,3,2225.0,4.0,169.0
501,Ambedkar,3,1862.0,3.0,120.0
502,Ambedkar,3,1850.0,4.0,139.0
503,Ambedkar,3,1936.0,4.0,126.0
504,Ambedkar,2,1463.0,1.0,142.0
505,Ambedkar,3,1862.0,3.0,119.0
506,Ambedkar,2,1424.0,2.0,90.0
507,Ambedkar,3,2150.0,4.0,125.0
508,Ambedkar,2,1468.0,3.0,130.0
509,Ambedkar,4,3530.0,4.0,290.0
510,Ambedkar,3,1856.0,3.0,120.0
511,Ambedkar,3,1852.0,3.0,130.0
512,Ambedkar,2,1464.0,2.0,145.0
513,Ambedkar,3,1850.0,4.0,120.0
514,Ambedkar,2,1367.0,2.0,86.0
515,Ambedkar,4,3565.0,4.0,255.0
516,Ambedkar,2,1409.0,2.0,95.0
517,Ambedkar,3,1950.0,4.0,120.0
518,Ambedkar,3,1921.0,4.0,129.0
519,Ambedkar,3,1920.0,4.0,121.0
520,Ambedkar,3,1935.0,4.0,125.0
521,Ambedkar,3,1852.0,4.0,122.0
522,Ambedkar,3,1950.0,4.0,120.0
523,Ambedkar,3,1852.0,3.0,125.0
524,Ambedkar,3,1850.0,4.0,121.0
525,Ambedkar,2,1425.0,2.0,94.0
526,Ambedkar,3,2395.0,4.0,150.0
527,Amruthahalli,2,900.0,2.0,40.0
528,Amruthahalli,2,1200.0,2.0,55.0
529,Amruthahalli,3,1900.0,3.0,135.0
530,Amruthahalli,2,924.0,2.0,45.0
531,Amruthahalli,2,900.0,2.0,60.0
532,Amruthahalli,2,1100.0,2.0,45.0
533,Amruthahalli,2,1200.0,2.0,55.0
534,Amruthahalli,3,1350.0,2.0,63.0
535,Amruthahalli,3,1605.0,3.0,65.0
536,Amruthahalli,3,1700.0,3.0,77.0
537,Amruthahalli,3,1450.0,2.0,85.0
538,Amruthahalli,2,1200.0,2.0,55.0
539,Amruthahalli,2,1250.0,2.0,79.0
540,Amruthahalli,2,1190.0,2.0,50.0
541,Amruthahalli,2,1202.0,2.0,65.0
542,Amruthahalli,2,1340.0,2.0,75.0
543,Amruthahalli,3,2650.0,4.0,175.0
544,Amruthahalli,3,1450.0,2.0,90.0
545,Amruthahalli,2,1025.0,2.0,42.0
546,Amruthahalli,1,485.0,1.0,19.5
547,Anandapura,2,1167.0,2.0,43.76
548,Anandapura,2,1000.0,2.0,55.0
549,Anandapura,2,1141.0,2.0,42.79
550,Anandapura,3,1576.0,3.0,59.1
551,Anandapura,2,1200.0,2.0,67.0
552,Anandapura,2,1200.0,2.0,58.0
553,Anandapura,2,1151.0,2.0,43.1
554,Anandapura,2,1141.0,2.0,42.75
555,Anandapura,2,900.0,2.0,48.0
556,Anandapura,4,1749.0,4.0,90.0
557,Anandapura,2,1151.0,2.0,42.9
558,Anandapura,3,1576.0,3.0,58.0
559,Anandapura,2,1250.0,2.0,45.0
560,Anandapura,2,1151.0,2.0,43.16
561,Anandapura,2,1200.0,2.0,58.0
562,Anandapura,3,1200.0,2.0,66.0
563,Anandapura,3,1415.0,2.0,74.0
564,Anandapura,2,1200.0,2.0,50.0
565,Anandapura,2,1141.0,2.0,50.0
566,Anandapura,3,1576.0,3.0,58.7
567,Ananth,1,500.0,1.0,14.0
568,Ananth,2,1100.0,2.0,31.5
569,Ananth,2,982.0,2.0,24.55
570,Ananth,1,500.0,2.0,14.0
571,Ananth,2,900.0,2.0,22.5
572,Ananth,2,908.0,2.0,26.0
573,Ananth,2,870.0,2.0,36.0
574,Ananth,2,937.0,2.0,35.0
575,Ananth,2,960.0,2.0,37.0
576,Ananth,1,500.0,1.0,14.0
577,Ananth,2,1000.0,2.0,29.7
578,Ananth,2,850.0,2.0,25.99
579,Ananth,2,902.0,2.0,25.26
580,Ananth,3,1470.0,3.0,54.0
581,Ananth,2,810.0,2.0,25.5
582,Ananth,2,890.0,2.0,27.0
583,Ananth,2,1200.0,2.0,36.0
584,Ananth,3,1319.0,3.0,37.75
585,Ananth,3,1319.0,3.0,42.0
586,Ananth,2,1000.0,2.0,25.0
587,Ananth,2,902.0,2.0,25.0
588,Ananth,2,930.0,2.0,25.99
589,Ananth,2,1074.0,2.0,26.85
590,Ananth,1,500.0,1.0,14.0
591,Ananth,2,1010.0,2.0,38.0
592,Ananth,2,992.0,2.0,24.8
593,Anekal,2,1200.0,1.0,36.0
594,Anekal,2,656.0,2.0,22.0
595,Anekal,2,620.0,2.0,22.0
596,Anekal,1,600.0,1.0,16.5
597,Anekal,2,925.0,2.0,40.0
598,Anekal,1,530.0,1.0,18.0
599,Anekal,3,1800.0,3.0,68.0
600,Anekal,2,1200.0,1.0,36.0
601,Anekal,1,351.0,1.0,16.0
602,Anekal,2,1035.0,2.0,38.3
603,Anekal,2,888.0,2.0,34.0
604,Anekal,2,1200.0,2.0,36.1
605,Anekal,2,700.0,1.0,19.4
606,Anekal,2,1200.0,1.0,36.0
607,Anekal,4,1200.0,2.0,36.0
608,Anekal,2,766.0,2.0,28.0
609,Anekal,3,967.0,2.0,45.0
610,Anekal,2,620.0,1.0,23.5
611,Anekal,3,1150.0,3.0,45.0
612,Anekal,2,1200.0,1.0,36.0
613,Anekal,2,1200.0,1.0,36.0
614,Anekal,1,400.0,1.0,11.5
615,Anekal,1,456.0,1.0,15.0
616,Anekal,2,1200.0,1.0,36.0
617,Anekal,2,1200.0,1.0,36.0
618,Anekal,3,2400.0,4.0,95.0
619,Anekal,2,1200.0,2.0,36.1
620,Anekal,2,1200.0,2.0,36.1
621,Anekal,2,680.0,1.0,21.0
622,Anekal,1,420.0,1.0,12.5
623,Anekal,2,614.0,1.0,28.0
624,Anekal,2,1140.0,2.0,52.0
625,Anekal,2,625.0,1.0,25.0
626,Anjanapura,4,1850.0,4.0,86.0
627,Anjanapura,2,1070.0,2.0,39.0
628,Anjanapura,3,1500.0,3.0,121.0
629,Anjanapura,2,1070.0,2.0,37.0
630,Anjanapura,2,950.0,2.0,40.0
631,Anjanapura,3,1280.0,2.0,45.0
632,Anjanapura,2,710.0,2.0,25.0
633,Anjanapura,3,1347.0,2.0,37.72
634,Anjanapura,2,950.0,2.0,32.0
635,Anjanapura,4,1800.0,4.0,55.0
636,Anjanapura,3,1843.0,3.0,87.54
637,Anjanapura,2,1076.0,2.0,30.13
638,Anjanapura,2,950.0,2.0,30.0
639,Ardendale,3,1750.0,3.0,100.0
640,Ardendale,4,3198.0,4.0,200.0
641,Ardendale,4,2422.0,4.0,160.0
642,Ardendale,3,1750.0,3.0,100.0
643,Ardendale,4,3200.0,4.0,205.0
644,Ardendale,3,1728.0,3.0,95.0
645,Ardendale,4,2062.0,3.0,140.0
646,Ardendale,3,1732.46,3.0,92.0
647,Ardendale,4,2062.0,3.0,150.0
648,Ardendale,4,2800.0,4.0,140.0
649,Ardendale,2,1224.0,2.0,70.0
650,Ardendale,3,1777.26,3.0,105.0
651,Ardendale,3,1650.0,3.0,82.0
652,Ardendale,4,2062.0,3.0,140.0
653,Ardendale,3,1650.0,3.0,82.0
654,Ardendale,2,1224.0,2.0,67.0
655,Ardendale,3,1723.0,3.0,95.0
